duration (seconds),emg amplitude
22.51398,81
22.515152,81
22.516348,49
22.517544,4
22.518652,361
22.519928,784
22.521212,484
22.522476,100
22.523756,0
22.524856,16
22.526044,25
22.527236,25
22.528428,36
22.529616,64
22.530792,121
22.532072,121
22.533356,36
22.534552,64
22.535736,529
22.537008,676
22.538292,289
22.539568,36
22.540756,0
22.54186,9
22.54296,16
22.544152,9
22.545256,16
22.54644,49
22.547636,81
22.548824,100
22.5501,9
22.551204,100
22.552484,400
22.553756,361
22.555044,100
22.556312,9
22.557412,0
22.558516,4
22.55962,4
22.560724,9
22.56184,36
22.56302,81
22.564204,121
22.565472,121
22.566756,25
22.56796,64
22.569144,529
22.570424,729
22.571692,361
22.572964,49
22.57416,0
22.575264,16
22.576456,16
22.57764,16
22.578832,49
22.580012,100
22.581292,144
22.582568,144
22.583844,4
22.584956,225
22.586228,729
22.587508,625
22.588788,196
22.590052,4
22.59116,9
22.59226,16
22.593448,16
22.594648,25
22.595836,81
22.597012,144
22.598288,169
22.59956,100
22.600848,0
22.60196,289
22.603228,784
22.6045,576
22.60578,169
22.60706,9
22.60816,0
22.609264,4
22.610368,4
22.611472,25
22.612652,49
22.613844,81
22.615032,81
22.61624,9
22.61734,36
22.618528,361
22.6198,529
22.621076,289
22.622364,36
22.623548,0
22.624648,16
22.625832,16
22.627024,16
22.628216,25
22.629408,49
22.630596,81
22.631784,81
22.63298,36
22.634164,9
22.635272,256
22.636552,484
22.637824,256
22.6391,49
22.640284,0
22.641396,4
22.642496,9
22.6436,4
22.644704,9
22.645812,25
22.647004,64
22.648188,100
22.64946,81
22.65066,0
22.651764,289
22.65304,676
22.65432,441
22.655588,100
22.65686,0
22.657964,9
22.659076,16
22.660264,9
22.661368,16
22.662556,36
22.663744,100
22.665008,121
22.6663,100
22.66758,0
22.66868,289
22.669956,729
22.671232,484
22.672504,100
22.673788,1
22.674892,1
22.675984,4
22.677088,4
22.678192,25
22.67938,49
22.680564,100
22.681848,144
22.683116,36
22.684316,25
22.685504,400
22.686784,625
22.688064,324
22.689332,49
22.690524,0
22.691624,9
22.692728,4
22.693836,9
22.69494,25
22.696132,49
22.697316,100
22.698584,121
22.699864,36
22.701068,36
22.702256,400
22.703528,625
22.704804,361
22.706076,49
22.707276,0
22.70838,9
22.709476,9
22.710584,9
22.711684,25
22.712868,64
22.714052,121
22.715328,121
22.716616,49
22.717808,25
22.718992,400
22.720276,576
22.721556,324
22.722828,49
22.724016,0
22.725116,9
22.72622,9
22.727324,9
22.728432,25
22.729612,49
22.730804,100
22.73208,100
22.733356,36
22.734552,49
22.735736,441
22.737024,625
22.738296,289
22.739564,49
22.740756,0
22.74186,9
22.742964,9
22.74408,9
22.74518,16
22.746364,49
22.747548,100
22.748824,121
22.7501,36
22.751304,64
22.752488,484
22.753764,625
22.755036,289
22.756316,36
22.757504,0
22.758608,9
22.759716,16
22.760904,16
22.762088,25
22.76328,49
22.76446,100
22.76574,121
22.767024,16
22.768208,121
22.769484,529
22.770772,529
22.772044,196
22.773316,9
22.77442,4
22.77552,9
22.776628,9
22.777732,16
22.778928,36
22.780116,81
22.781292,144
22.782572,121
22.783852,1
22.784956,225
22.78624,729
22.787512,576
22.788784,144
22.79006,4
22.791184,9
22.792272,16
22.793464,16
22.794644,16
22.79584,49
22.79702,100
22.798288,121
22.799576,121
22.800852,1
22.801956,256
22.803236,729
22.804512,529
22.805788,144
22.807064,1
22.808164,9
22.809264,16
22.810456,16
22.81164,25
22.812836,64
22.81402,100
22.815296,121
22.816572,64
22.81776,0
22.818892,324
22.820152,729
22.82142,484
22.8227,121
22.82398,1
22.825084,4
22.82618,16
22.827376,16
22.82856,36
22.829748,81
22.830924,169
22.832216,169
22.833488,81
22.834684,36
22.835876,625
22.837148,961
22.838428,576
22.839708,100
22.840972,0
22.842076,25
22.843264,36
22.844464,36
22.845648,36
22.846836,49
22.84802,100
22.849288,100
22.850584,4
22.851688,121
22.85296,441
22.854236,324
22.855512,81
22.856704,1
22.857824,4
22.858912,4
22.860016,4
22.861124,4
22.862224,25
22.863404,64
22.864588,100
22.865868,100
22.867164,9
22.868264,121
22.869532,529
22.8708,484
22.872088,169
22.87336,16
22.874556,1
22.875652,4
22.876756,9
22.877856,16
22.879044,36
22.880236,64
22.881428,121
22.882704,81
22.883896,0
22.885004,169
22.886276,576
22.88756,441
22.888832,121
22.8901,4
22.891204,1
22.892312,4
22.893416,4
22.89452,9
22.895628,25
22.89682,49
22.897996,81
22.899184,81
22.900388,4
22.901488,100
22.902764,484
22.904048,441
22.905316,144
22.906596,16
22.90778,0
22.90888,4
22.91,9
22.911104,16
22.912284,49
22.913476,81
22.914656,121
22.915932,81
22.917128,25
22.918328,25
22.91952,484
22.920788,841
22.92206,484
22.923348,81
22.924528,0
22.92564,25
22.926816,25
22.928004,16
22.929196,25
22.930388,49
22.931584,81
22.932776,64
22.933968,0
22.935068,144
22.93634,441
22.937628,289
22.9389,49
22.940092,0
22.941188,9
22.942292,9
